age,c_charge_degree,race,sex,priors_count,decile_score
47,M,African-American,Male,23,8
23,M,African-American,Male,0,2
57,F,Hispanic,Male,1,1
66,F,African-American,Male,3,1
45,M,Caucasian,Male,8,4
37,M,African-American,Male,2,9
39,F,Caucasian,Male,0,4
26,F,African-American,Male,9,9
45,F,Caucasian,Male,2,3
23,F,African-American,Male,0,3
34,M,African-American,Male,2,2
23,M,African-American,Female,1,4
36,M,Other,Male,2,3
50,F,Caucasian,Male,1,1
37,M,Caucasian,Female,0,3
44,M,Caucasian,Male,4,4
35,F,African-American,Female,23,9
24,F,Other,Male,5,5
26,F,African-American,Male,2,10
27,M,African-American,Male,0,2
28,F,African-American,Female,0,8
28,F,Caucasian,Female,7,9
38,F,African-American,Male,2,1
28,F,African-American,Female,1,9
56,F,Caucasian,Male,7,1
38,F,African-American,Male,15,9
28,M,African-American,Male,2,5
51,M,Caucasian,Female,0,1
51,M,Caucasian,Male,0,2
36,M,Other,Male,1,1
48,F,African-American,Male,0,1
37,F,Caucasian,Male,4,3
30,F,African-American,Female,2,7
41,M,African-American,Female,5,6
27,F,African-American,Male,11,10
37,M,African-American,Male,0,1
33,F,Other,Male,4,4
54,F,African-American,Male,11,9
23,F,African-American,Male,2,9
41,M,African-American,Male,0,1
52,F,Caucasian,Male,0,1
43,F,Caucasian,Male,13,4
52,F,African-American,Male,0,4
28,F,Caucasian,Male,1,1
30,M,African-American,Male,11,9
28,F,Caucasian,Male,1,5
22,F,African-American,Male,0,4
30,F,African-American,Male,4,2
25,F,Hispanic,Male,4,4
31,F,Caucasian,Male,0,8
37,F,Caucasian,Male,0,2
32,F,African-American,Male,14,9
53,M,Caucasian,Male,1,1
28,F,African-American,Male,25,8
44,M,Caucasian,Male,8,5
25,F,African-American,Male,0,3
22,M,Caucasian,Male,1,8
37,M,Other,Female,0,1
40,F,Other,Female,3,2
31,M,Hispanic,Female,0,2
23,F,Hispanic,Male,1,6
23,F,Caucasian,Female,5,5
24,M,Hispanic,Male,0,8
29,M,African-American,Male,1,3
20,F,African-American,Male,1,8
30,F,African-American,Male,2,6
39,F,Other,Male,0,1
27,F,African-American,Male,4,4
37,F,African-American,Female,2,1
20,F,African-American,Male,0,8
22,F,Hispanic,Male,0,7
52,F,African-American,Female,0,1
23,F,African-American,Female,0,4
48,F,African-American,Female,0,2
25,F,Caucasian,Male,0,5
27,F,Caucasian,Male,0,6
30,F,African-American,Male,11,7
22,M,African-American,Male,3,10
22,F,Caucasian,Female,1,3
41,M,African-American,Female,2,3
25,F,Other,Female,0,2
52,F,African-American,Male,3,6
43,F,African-American,Male,0,1
37,F,Caucasian,Male,3,1
70,M,Caucasian,Male,1,1
46,F,Caucasian,Male,3,4
21,M,African-American,Male,0,9
26,M,African-American,Male,1,8
38,F,Hispanic,Male,3,1
34,M,Caucasian,Male,5,4
34,M,African-American,Male,5,4
23,F,Caucasian,Male,0,5
34,F,African-American,Male,5,4
39,F,African-American,Male,6,3
24,F,Other,Male,0,3
58,F,Caucasian,Male,2,3
21,M,African-American,Female,0,6
23,M,African-American,Male,4,8
62,F,Caucasian,Male,0,1
37,F,Caucasian,Male,5,3
43,F,Other,Male,2,2
32,F,African-American,Female,5,1
23,F,Hispanic,Male,0,3
27,M,African-American,Male,0,1
44,M,Caucasian,Male,0,1
28,M,Caucasian,Male,3,3
42,F,Caucasian,Female,0,2
24,F,Other,Male,9,10
27,F,African-American,Male,0,2
20,F,African-American,Male,0,10
51,M,Caucasian,Female,0,1
56,M,Caucasian,Male,0,1
29,F,African-American,Male,7,9
20,F,African-American,Male,0,9
27,F,Caucasian,Male,8,5
24,F,African-American,Male,2,9
53,F,Caucasian,Male,36,6
28,M,Caucasian,Male,2,3
21,F,Hispanic,Male,3,5
36,F,African-American,Female,0,7
25,M,Caucasian,Female,2,4
23,M,Hispanic,Female,1,3
28,F,Caucasian,Male,1,5
21,F,African-American,Female,0,8
36,M,Caucasian,Male,0,3
24,F,African-American,Male,0,3
30,F,Other,Male,1,2
29,F,African-American,Male,0,1
30,M,Caucasian,Female,0,6
51,M,Hispanic,Male,1,1
32,F,African-American,Male,12,9
23,F,African-American,Male,1,6
47,F,African-American,Male,3,3
37,F,Caucasian,Male,0,1
19,F,African-American,Male,2,10
27,M,Hispanic,Male,0,8
39,M,Other,Male,0,1
21,F,Caucasian,Female,0,6
69,M,Caucasian,Male,0,1
21,F,Caucasian,Male,2,6
26,M,African-American,Male,6,10
22,F,Caucasian,Male,0,4
23,F,African-American,Female,0,5
49,F,African-American,Male,3,5
29,M,African-American,Male,2,4
60,M,Caucasian,Female,0,1
23,F,African-American,Male,3,10
20,F,Other,Female,1,4
36,F,Hispanic,Male,1,3
30,F,Caucasian,Male,0,4
21,F,African-American,Male,1,3
22,M,Caucasian,Male,2,6
21,F,African-American,Male,4,9
21,F,African-American,Male,0,5
34,M,Caucasian,Male,1,1
50,M,Caucasian,Female,1,1
40,F,Caucasian,Male,0,7
25,F,African-American,Male,7,8
53,M,Caucasian,Female,1,1
24,F,African-American,Female,0,4
42,F,African-American,Male,1,1
28,M,African-American,Male,1,3
26,F,African-American,Male,6,8
22,F,African-American,Male,4,9
21,M,Caucasian,Male,3,7
37,F,African-American,Male,23,9
35,F,African-American,Male,2,5
53,F,African-American,Male,2,1
29,F,African-American,Male,7,4
48,F,Caucasian,Male,23,8
52,M,Caucasian,Female,0,1
27,F,African-American,Male,12,8
28,F,African-American,Male,5,9
33,M,Caucasian,Male,3,3
28,F,Hispanic,Female,0,2
36,F,African-American,Male,14,7
29,F,African-American,Male,2,5
22,M,African-American,Male,0,9
25,F,Caucasian,Male,0,2
56,F,African-American,Male,5,3
27,F,African-American,Male,9,8
52,F,Caucasian,Male,4,1
32,F,African-American,Male,3,2
60,F,Other,Male,4,1
23,M,Hispanic,Male,1,3
39,M,Caucasian,Female,0,6
56,M,Caucasian,Male,0,1
22,F,African-American,Female,0,7
53,F,African-American,Male,11,6
25,M,Caucasian,Male,0,2
21,M,Hispanic,Male,0,3
22,F,Caucasian,Male,0,3
58,M,Caucasian,Female,2,1
31,M,African-American,Male,7,3
22,F,Caucasian,Male,1,5
28,F,African-American,Male,8,6
42,F,Other,Male,1,1
20,F,African-American,Male,0,7
29,M,Caucasian,Male,0,6
58,M,African-American,Male,21,7
22,F,African-American,Male,3,7
48,M,Hispanic,Male,1,1
37,F,Caucasian,Male,0,4
57,F,African-American,Male,1,5
27,M,Caucasian,Male,3,1
26,F,African-American,Male,3,4
24,F,Caucasian,Male,3,8
33,F,Caucasian,Male,0,1
29,F,African-American,Male,2,6
24,F,African-American,Female,3,10
19,F,Caucasian,Male,1,10
36,M,Caucasian,Male,2,1
24,F,Caucasian,Female,0,5
34,M,Caucasian,Male,0,1
25,F,Hispanic,Male,2,5
20,F,African-American,Male,1,10
24,M,African-American,Male,1,2
61,F,Caucasian,Male,4,1
50,F,African-American,Female,3,2
30,M,African-American,Male,1,1
38,F,African-American,Male,5,3
24,M,Caucasian,Male,0,1
46,F,African-American,Female,2,10
41,M,Caucasian,Male,0,1
20,F,Other,Male,0,8
27,M,African-American,Male,13,8
26,M,African-American,Male,1,6
29,F,African-American,Male,3,5
52,F,Caucasian,Male,6,5
28,F,Caucasian,Male,1,4
55,F,African-American,Male,5,3
26,F,African-American,Male,10,9
28,F,African-American,Male,5,10
63,F,Caucasian,Male,2,1
42,F,African-American,Male,0,1
23,F,African-American,Male,6,6
54,F,African-American,Male,28,9
35,F,African-American,Male,8,7
24,F,African-American,Female,6,9
54,M,African-American,Male,2,1
58,M,African-American,Male,12,6
23,M,Caucasian,Male,1,5
35,M,African-American,Male,1,2
20,F,African-American,Male,1,10
51,F,Caucasian,Male,0,1
24,F,Hispanic,Male,0,10
37,F,Caucasian,Male,3,2
47,F,Caucasian,Male,3,1
34,F,Caucasian,Male,4,6
56,F,Caucasian,Male,0,1
34,F,Hispanic,Male,4,1
59,F,Caucasian,Male,1,1
35,F,Asian,Male,0,6
58,F,Hispanic,Male,1,1
29,M,Hispanic,Male,2,4
24,F,Caucasian,Female,6,9
21,M,Caucasian,Male,2,9
50,F,Asian,Male,5,7
26,F,African-American,Male,1,2
30,M,Caucasian,Female,0,2
29,M,Caucasian,Male,0,4
54,M,African-American,Male,0,1
29,F,African-American,Male,4,4
59,M,Caucasian,Female,0,1
38,F,African-American,Male,0,5
27,M,Caucasian,Male,1,3
26,F,Hispanic,Male,7,5
52,F,Hispanic,Male,20,3
66,F,African-American,Male,33,6
27,F,Caucasian,Male,2,5
51,M,Caucasian,Male,1,1
35,F,Caucasian,Male,1,2
52,M,Caucasian,Male,4,3
48,F,Other,Male,12,5
26,M,African-American,Female,0,2
48,M,Caucasian,Female,0,1
30,M,Hispanic,Male,7,4
28,M,Other,Male,2,1
33,M,African-American,Male,2,3
34,F,African-American,Female,6,4
25,M,Other,Male,0,1
59,F,African-American,Male,10,7
29,F,African-American,Male,5,5
24,F,Caucasian,Male,0,2
48,F,Caucasian,Male,1,7
52,M,African-American,Male,4,5
20,F,African-American,Male,0,4
25,F,Caucasian,Male,4,4
24,F,Caucasian,Male,0,2
23,M,Caucasian,Male,0,9
27,F,Caucasian,Male,6,4
25,M,African-American,Male,1,3
31,F,African-American,Male,0,2
25,F,African-American,Male,6,4
32,F,Caucasian,Male,1,1
21,F,Caucasian,Male,0,3
37,F,Other,Male,1,1
25,F,Caucasian,Male,0,3
32,F,Hispanic,Male,20,10
35,F,African-American,Male,0,7
42,F,African-American,Male,14,7
24,M,Caucasian,Male,9,10
21,F,Hispanic,Male,0,6
47,M,Caucasian,Male,1,1
27,F,African-American,Male,5,9
43,M,Hispanic,Male,2,1
46,F,Caucasian,Male,2,6
44,M,African-American,Male,1,3
23,F,Caucasian,Male,2,2
42,F,African-American,Male,8,5
58,F,African-American,Male,6,6
26,F,African-American,Male,3,6
48,F,Other,Female,0,1
39,F,African-American,Male,3,3
21,F,African-American,Male,3,5
63,M,Caucasian,Male,1,1
22,F,African-American,Male,3,7
50,M,African-American,Male,3,3
38,F,African-American,Male,0,1
41,F,Caucasian,Male,1,6
28,F,African-American,Male,16,8
30,M,African-American,Female,0,3
23,F,African-American,Male,1,5
25,F,Caucasian,Male,2,4
40,F,Caucasian,Male,5,4
24,F,Hispanic,Male,8,8
27,M,African-American,Male,5,4
44,M,Caucasian,Male,11,3
35,F,African-American,Female,6,2
42,M,Caucasian,Male,0,1
38,F,African-American,Male,15,7
26,F,Hispanic,Male,4,6
25,M,African-American,Female,0,3
64,F,Hispanic,Male,1,1
49,M,Caucasian,Female,2,1
50,F,Caucasian,Male,5,1
66,M,Caucasian,Male,0,1
46,M,Caucasian,Female,0,1
30,F,African-American,Male,5,6
22,M,Caucasian,Female,0,3
23,M,Caucasian,Male,1,4
30,M,Other,Male,0,6
31,M,Hispanic,Male,0,1
31,F,Other,Male,1,2
25,M,African-American,Male,0,3
21,F,Caucasian,Female,0,7
27,M,African-American,Male,0,2
20,M,Hispanic,Male,0,2
32,F,Hispanic,Male,1,1
24,F,Caucasian,Female,0,5
20,F,African-American,Male,1,3
31,M,African-American,Male,3,8
27,M,African-American,Male,3,7
40,F,African-American,Male,0,2
22,F,African-American,Male,11,10
38,F,African-American,Female,1,1
36,M,Hispanic,Male,1,10
30,M,African-American,Male,1,7
27,F,Caucasian,Male,6,6
59,M,Caucasian,Female,0,1
37,M,Caucasian,Male,2,1
28,M,African-American,Male,5,7
38,F,Caucasian,Male,0,1
22,F,African-American,Male,0,8
25,F,African-American,Male,4,5
51,M,Caucasian,Male,0,1
29,M,Caucasian,Male,2,2
28,F,African-American,Male,10,3
55,M,African-American,Male,9,3
23,F,Caucasian,Female,3,10
22,M,African-American,Female,0,5
19,F,Caucasian,Female,2,10
31,M,African-American,Male,1,1
29,M,African-American,Male,0,1
61,F,African-American,Male,15,6
31,M,Hispanic,Male,0,2
20,F,African-American,Male,4,9
26,F,Caucasian,Male,3,7
27,M,Caucasian,Male,5,9
25,F,Caucasian,Male,1,5
23,F,Caucasian,Male,3,5
38,F,African-American,Male,0,1
27,F,African-American,Male,18,9
35,F,Caucasian,Female,0,3
22,F,Other,Male,0,9
58,F,African-American,Female,4,2
57,M,Caucasian,Female,0,4
21,F,African-American,Male,0,3
22,F,African-American,Female,0,8
30,F,African-American,Male,0,2
30,F,African-American,Male,8,8
31,F,African-American,Female,10,6
45,F,Caucasian,Female,1,6
39,F,Caucasian,Male,2,2
31,F,African-American,Male,0,8
22,F,African-American,Male,1,4
27,F,African-American,Male,13,7
38,F,Caucasian,Male,1,1
31,F,African-American,Male,23,10
47,F,African-American,Male,20,9
22,F,African-American,Male,3,7
35,M,African-American,Male,1,9
23,M,Hispanic,Male,2,6
65,M,African-American,Male,2,2
35,M,African-American,Male,0,4
33,F,African-American,Female,0,3
53,M,Caucasian,Male,1,1
52,F,Hispanic,Male,0,1
21,F,African-American,Male,0,5
37,F,African-American,Male,11,4
30,M,Other,Male,4,9
54,F,Other,Male,0,1
31,M,African-American,Female,0,1
59,F,Caucasian,Female,2,3
27,M,African-American,Male,0,2
36,M,African-American,Male,0,7
46,F,African-American,Male,17,9
22,F,African-American,Male,3,9
28,M,Caucasian,Female,0,2
34,F,Caucasian,Female,15,9
29,F,Hispanic,Male,7,9
23,M,African-American,Male,2,10
27,F,African-American,Male,3,4
21,F,Asian,Male,0,6
48,F,Caucasian,Male,3,1
31,F,African-American,Male,5,7
36,M,African-American,Male,4,5
44,F,African-American,Male,14,8
53,F,Caucasian,Male,2,1
33,M,African-American,Male,3,2
47,F,Caucasian,Male,2,5
57,F,African-American,Male,20,7
28,M,African-American,Male,2,4
24,M,African-American,Male,1,6
44,F,African-American,Male,1,1
46,F,African-American,Male,0,1
37,F,African-American,Male,6,3
26,M,African-American,Male,10,6
27,F,African-American,Male,10,8
40,F,Caucasian,Male,1,2
60,F,Caucasian,Female,9,3
53,F,Caucasian,Male,1,1
28,F,African-American,Male,0,1
23,M,Hispanic,Male,0,4
46,F,Caucasian,Female,2,8
23,F,African-American,Male,0,5
50,F,African-American,Male,18,8
45,M,African-American,Male,0,1
22,F,African-American,Male,1,5
26,F,Caucasian,Male,1,2
62,F,Caucasian,Male,0,1
34,M,Caucasian,Male,0,1
24,F,Hispanic,Male,1,10
21,M,Caucasian,Male,0,2
25,F,Caucasian,Male,0,2
68,M,Caucasian,Male,0,1
21,F,Caucasian,Male,1,3
37,F,Hispanic,Female,1,3
22,F,African-American,Male,0,8
42,F,Caucasian,Male,1,1
22,F,Caucasian,Male,1,4
45,F,African-American,Male,0,4
36,F,African-American,Female,4,10
48,F,African-American,Male,2,6
23,F,African-American,Male,6,9
24,F,African-American,Male,0,8
29,F,African-American,Male,0,2
24,F,African-American,Male,0,3
50,F,African-American,Male,11,9
34,F,African-American,Male,10,7
23,F,African-American,Male,0,2
22,M,Caucasian,Female,0,5
36,F,Other,Male,0,1
30,F,Caucasian,Male,22,5
21,F,African-American,Male,0,10
53,F,Caucasian,Female,0,1
25,M,African-American,Male,7,5
25,M,African-American,Female,1,9
71,F,African-American,Male,8,1
39,M,African-American,Male,10,9
37,F,African-American,Female,0,5
20,F,African-American,Male,0,5
29,F,African-American,Female,3,5
22,F,African-American,Male,2,5
26,F,African-American,Male,4,7
47,F,African-American,Female,19,10
21,F,Other,Male,1,4
23,M,Other,Female,0,10
20,F,Caucasian,Female,1,8
23,F,African-American,Female,0,2
27,M,Native American,Male,3,7
53,F,African-American,Female,0,1
23,F,African-American,Female,0,7
26,F,African-American,Male,5,7
25,F,African-American,Male,6,6
23,M,Other,Male,2,4
27,F,African-American,Male,4,9
29,M,African-American,Male,1,4
27,F,Other,Male,1,2
28,F,Hispanic,Male,0,2
31,M,African-American,Male,0,2
41,F,African-American,Male,8,6
25,M,Caucasian,Male,0,2
47,M,Caucasian,Male,0,1
37,F,African-American,Male,4,2
35,F,African-American,Female,4,5
24,M,Caucasian,Male,1,4
21,F,Caucasian,Male,2,9
22,F,Caucasian,Male,0,4
57,F,African-American,Male,11,6
48,F,Caucasian,Male,0,7
36,F,Other,Male,0,1
37,F,African-American,Female,3,7
31,M,Caucasian,Male,0,1
22,F,African-American,Male,1,9
31,M,Caucasian,Male,2,3
24,F,African-American,Male,0,5
32,F,African-American,Male,22,9
23,M,Other,Female,0,4
63,M,African-American,Male,0,1
30,F,Other,Male,0,1
20,F,Caucasian,Male,0,4
24,M,African-American,Female,1,5
36,M,African-American,Female,1,2
83,M,Hispanic,Male,0,1
28,F,Caucasian,Male,2,6
36,F,African-American,Male,3,2
33,M,African-American,Female,0,2
39,F,African-American,Male,0,3
29,M,Other,Male,3,7
30,F,African-American,Male,17,10
24,F,African-American,Male,1,1
35,F,African-American,Male,7,6
24,F,African-American,Male,0,3
26,F,Caucasian,Male,8,4
28,F,African-American,Male,14,7
32,M,African-American,Male,0,5
32,M,Caucasian,Female,1,3
33,M,African-American,Male,5,8
29,F,African-American,Male,16,10
34,M,Caucasian,Male,1,3
37,M,Other,Female,0,1
43,M,Caucasian,Male,0,1
47,F,Caucasian,Male,2,4
25,M,African-American,Male,3,6
23,F,African-American,Female,1,3
39,M,Caucasian,Male,2,2
35,F,African-American,Male,13,8
33,F,Other,Male,0,1
21,F,Other,Male,0,3
43,F,African-American,Male,20,8
25,F,African-American,Male,3,8
48,F,African-American,Male,25,10
22,M,African-American,Male,1,7
52,M,African-American,Male,9,8
26,F,Caucasian,Male,5,4
67,M,African-American,Male,4,7
34,M,African-American,Male,4,2
56,M,Caucasian,Male,4,1
28,F,African-American,Male,1,4
29,M,African-American,Male,2,4
37,F,African-American,Male,6,5
43,F,Other,Male,3,2
51,F,Caucasian,Male,0,1
20,M,African-American,Male,1,7
26,M,Caucasian,Male,4,7
39,M,Caucasian,Female,1,2
21,F,African-American,Male,1,8
21,F,African-American,Male,1,9
24,F,Caucasian,Male,3,4
26,M,African-American,Male,4,8
48,F,Caucasian,Male,1,2
24,F,African-American,Male,5,5
26,F,Caucasian,Male,0,4
46,F,Caucasian,Male,0,1
24,M,African-American,Male,7,9
21,M,Caucasian,Female,0,5
24,F,African-American,Male,1,3
36,M,African-American,Male,9,8
30,F,African-American,Male,5,4
22,F,Caucasian,Female,1,6
25,F,African-American,Male,0,9
31,M,African-American,Male,25,8
24,F,African-American,Male,0,4
39,F,African-American,Male,13,8
46,F,Other,Male,0,1
30,F,African-American,Female,4,3
40,F,Caucasian,Male,0,2
52,F,African-American,Female,0,1
23,F,African-American,Male,3,9
26,M,African-American,Female,1,2
22,F,Caucasian,Male,1,8
42,F,Caucasian,Male,3,4
23,F,African-American,Male,6,10
33,F,Other,Male,4,3
28,F,African-American,Male,1,3
50,F,Caucasian,Male,1,1
32,F,African-American,Male,1,7
24,F,Hispanic,Male,3,6
51,F,African-American,Male,3,2
19,M,Caucasian,Male,1,4
32,F,African-American,Male,4,5
31,F,Caucasian,Female,1,3
29,F,African-American,Female,1,5
43,M,Hispanic,Male,0,1
26,F,African-American,Male,9,7
27,F,Caucasian,Male,0,10
52,F,Caucasian,Male,1,1
27,M,Hispanic,Male,1,1
57,M,Hispanic,Female,1,2
28,M,African-American,Male,3,6
32,F,African-American,Male,3,1
27,M,African-American,Male,5,3
45,M,Hispanic,Male,0,1
42,M,Caucasian,Female,0,1
33,F,African-American,Male,0,2
28,M,Caucasian,Female,3,4
53,M,Caucasian,Female,0,1
24,F,Caucasian,Male,0,2
28,F,Hispanic,Male,1,2
28,F,Hispanic,Male,1,5
39,M,African-American,Male,6,7
22,F,African-American,Male,1,7
46,F,African-American,Male,2,2
25,M,African-American,Male,0,2
52,F,Caucasian,Male,1,5
28,M,African-American,Male,4,2
57,F,Caucasian,Female,1,1
49,F,African-American,Male,3,1
21,F,African-American,Male,2,9
32,F,African-American,Male,19,10
63,M,African-American,Male,3,9
29,F,Caucasian,Male,2,3
46,M,African-American,Male,0,1
28,M,African-American,Male,10,7
27,F,African-American,Male,1,2
69,M,Hispanic,Female,0,1
47,M,Hispanic,Male,0,1
45,F,Hispanic,Male,1,3
33,M,Caucasian,Female,1,1
27,M,Hispanic,Female,0,2
32,F,African-American,Male,14,9
24,F,African-American,Male,2,7
26,F,African-American,Male,5,10
47,M,Hispanic,Male,0,4
25,F,Caucasian,Male,1,5
21,F,African-American,Male,1,8
25,M,African-American,Male,2,2
22,F,African-American,Male,6,7
26,F,Caucasian,Female,0,6
20,F,Caucasian,Male,0,4
30,M,African-American,Male,1,5
45,F,African-American,Male,0,5
33,F,African-American,Male,7,7
35,F,Caucasian,Male,2,1
41,F,Caucasian,Male,5,1
23,M,Caucasian,Male,0,3
21,M,Caucasian,Female,0,5
54,F,African-American,Male,0,1
27,F,African-American,Male,10,6
22,M,Caucasian,Male,0,3
21,M,Hispanic,Female,0,7
23,F,African-American,Male,2,6
30,M,Hispanic,Male,1,1
36,M,African-American,Male,5,8
29,F,African-American,Male,10,7
54,M,African-American,Male,4,5
22,M,Caucasian,Male,2,5
26,M,African-American,Male,0,4
20,F,African-American,Female,0,4
52,M,African-American,Male,6,1
29,F,African-American,Male,0,1
23,M,African-American,Female,6,7
35,M,African-American,Male,1,1
32,F,Caucasian,Male,8,9
21,M,African-American,Male,1,7
25,F,Hispanic,Male,0,3
30,M,African-American,Male,4,4
30,F,African-American,Female,3,4
23,F,African-American,Male,2,7
32,F,Caucasian,Male,8,4
29,F,African-American,Male,6,10
42,M,Caucasian,Male,0,1
21,F,African-American,Male,0,8
22,M,African-American,Female,0,3
45,F,Hispanic,Male,2,1
29,M,African-American,Male,0,2
30,F,African-American,Male,6,5
51,M,African-American,Male,17,4
45,F,Hispanic,Male,20,3
24,F,Caucasian,Male,2,6
23,M,African-American,Male,2,7
36,F,African-American,Male,5,4
69,M,Hispanic,Male,0,1
21,F,Hispanic,Male,1,5
59,M,Hispanic,Male,1,1
39,F,African-American,Male,1,6
29,F,African-American,Male,2,6
22,M,Hispanic,Male,1,7
44,F,Caucasian,Male,6,3
25,F,African-American,Male,2,5
31,F,African-American,Male,0,10
35,M,African-American,Male,17,7
27,M,African-American,Male,11,10
33,F,African-American,Male,1,5
28,F,African-American,Male,6,9
60,F,Caucasian,Male,1,1
53,M,Hispanic,Male,0,1
51,F,Hispanic,Male,0,1
54,F,African-American,Female,0,1
24,M,Caucasian,Male,3,4
55,F,Hispanic,Male,1,2
26,F,Hispanic,Male,0,3
75,F,African-American,Female,5,1
36,F,African-American,Male,16,5
34,F,Other,Male,0,2
25,M,African-American,Female,5,7
46,F,Caucasian,Male,0,1
27,F,African-American,Male,1,2
28,M,African-American,Male,3,3
42,M,African-American,Male,13,8
59,M,African-American,Male,2,1
39,F,Caucasian,Male,1,1
46,M,Caucasian,Male,5,4
25,F,Other,Male,1,2
55,F,Caucasian,Male,2,1
35,M,African-American,Male,1,10
43,M,African-American,Male,0,1
