priors_count;days_b_screening_arrest;decile_score;is_recid;two_year_recid;c_charge_degree_F;c_charge_degree_M;race_African-American;race_Asian;race_Caucasian;race_Hispanic;race_Native American;race_Other;age_cat_25 - 45;age_cat_Greater than 45;age_cat_Less than 25;score_text_High;score_text_Low;score_text_Medium;sex_Female;sex_Male
1;0;4;1;1;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1
1;-1;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;1
0;-1;3;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;1
8;-1;3;1;1;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1
5;-1;7;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1
0;0;10;1;1;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1
9;0;9;1;1;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1
4;-1;8;1;1;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1
0;-1;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1
7;-1;3;1;1;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1
4;-1;5;1;1;0;1;0;0;1;0;0;0;1;0;0;0;0;1;1;0
1;0;2;1;1;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;1
21;0;9;1;1;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1
0;0;2;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;1
2;-1;8;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0
2;-1;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;1
2;-1;2;1;1;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;1
7;-1;2;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;1;0
0;0;7;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1
9;-1;10;1;1;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1
13;-1;8;1;1;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1
0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;1
0;0;4;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1
1;-24;2;1;1;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1
0;-1;2;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0
15;-1;5;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1
2;-1;4;1;1;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1
0;0;7;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;1
4;-1;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;1
8;-13;5;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1
5;-1;3;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1
15;-1;10;1;1;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1
4;-1;2;1;1;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;1
1;-1;4;1;1;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1
4;-1;9;1;1;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1
0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;1
6;0;6;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1
0;-1;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;1
0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;1;0
6;-1;1;1;1;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1
1;-1;4;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1
1;-1;4;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;1
5;0;6;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1
1;-1;6;1;1;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1
2;-15;2;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1
1;0;3;1;1;0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;1
0;-1;8;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1
1;-1;4;1;1;1;0;1;0;0;0;0;0;1;0;0;0;1;0;1;0
0;-1;2;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1
1;-1;2;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;1
8;-1;10;1;1;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;1
0;-1;1;1;1;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1
14;-1;10;1;1;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1
0;-1;5;1;1;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1
2;0;9;1;1;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1
1;-1;2;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;1;0
9;0;7;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1
7;0;8;1;1;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1
1;0;6;1;1;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1
9;-1;8;1;1;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1
0;-1;7;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0
2;-2;1;1;1;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1
0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;1;0
0;-2;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;1;0
1;-10;4;1;1;0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;1
1;-1;2;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1
0;-1;1;1;1;1;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0
8;-1;6;1;1;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;1
0;-1;4;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1
0;-1;5;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;1
1;-1;4;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0
1;-30;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1
3;-1;9;1;1;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1
5;-1;4;1;1;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;1
0;0;5;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1
5;0;5;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1
3;0;2;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1
1;0;2;1;1;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1
10;0;9;1;1;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1
0;-1;4;1;1;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1
28;-1;8;1;1;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1
1;-1;7;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;1
1;-1;2;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0
13;-1;10;1;1;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1
3;-1;9;1;1;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1
3;-2;9;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;1
19;-1;10;1;1;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1
6;-4;3;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1
2;-1;4;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0
1;-20;2;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;1
2;-1;2;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;1;0
0;-1;2;1;1;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;1
0;-1;2;0;0;0;1;1;0;0;0;0;0;0;0;1;0;1;0;1;0
10;-1;4;1;1;1;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0
2;0;2;1;1;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;1
3;-1;7;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1
2;-16;3;1;1;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;1
1;-1;2;1;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;1
1;-1;2;1;1;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1
1;0;10;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0
0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;1;0
9;-1;8;1;1;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1
11;-2;6;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1
8;-1;5;1;1;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;1
0;-1;3;1;1;1;0;1;0;0;0;0;0;1;0;0;0;1;0;1;0
7;-1;9;1;1;1;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0
2;-1;9;1;1;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1
0;0;6;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0
0;-2;6;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;1;0
1;-1;1;1;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;1;0
13;-1;7;1;1;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1
1;-26;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1
4;-7;10;1;1;1;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0
1;-1;4;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1
2;-1;4;1;1;0;1;1;0;0;0;0;0;1;0;0;0;1;0;1;0
1;-1;4;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;1
3;0;7;1;1;1;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0
1;0;7;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1
2;-1;2;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;1
1;-1;2;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1
6;22;1;1;1;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1
0;0;5;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1
1;-1;2;1;1;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;1
0;-1;3;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1
5;-1;7;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0
2;-1;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;1
8;0;4;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1
8;29;9;1;1;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1
6;-1;6;1;1;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;1
2;-1;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1
0;-1;2;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1
1;-1;1;1;1;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;1
0;-1;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1
0;-1;2;0;0;1;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1
1;0;5;1;1;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1
23;-1;8;1;1;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;1
0;-1;2;1;1;0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;1
1;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1
3;-10;1;1;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1
8;0;4;1;1;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;1
2;0;9;1;1;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;1
0;0;4;1;1;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1
9;0;9;1;1;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1
2;-1;3;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1
0;-1;3;1;1;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1
2;0;2;1;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;1
1;-1;4;0;0;0;1;1;0;0;0;0;0;0;0;1;0;1;0;1;0
2;-1;3;1;1;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;1
1;-4;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1
0;-1;3;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;1;0
4;0;4;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;1
23;-1;9;1;1;1;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0
5;-1;5;1;1;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1
2;-1;10;1;1;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1
0;-1;2;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;1
0;0;8;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0
7;-1;9;1;1;1;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0
2;-1;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1
1;-1;9;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0
7;-1;1;1;1;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1
15;-1;9;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1
2;-1;5;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;1
0;-1;1;1;1;0;1;0;0;1;0;0;0;0;1;0;0;1;0;1;0
0;-1;2;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;1
1;-1;1;1;1;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;1
0;-1;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1
4;0;3;1;1;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1
2;-1;7;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0
5;0;6;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1;1;0
11;-1;10;1;1;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1
0;-1;1;1;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;1
4;0;4;1;1;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1
11;-1;9;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1
2;-1;9;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1
0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;1
0;-1;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1
13;0;4;1;1;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1
0;-1;4;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1
1;-3;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1
11;-1;9;1;1;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;1
1;0;5;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1
0;-1;4;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1
4;0;2;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1
4;0;4;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1
0;-1;8;1;1;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1
0;-1;2;1;1;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1
14;-1;9;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1
1;-1;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;1
25;29;8;1;1;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1
8;-1;5;1;1;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;1
0;0;3;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1
1;0;8;1;1;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0;1
0;-1;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;1;0
3;-1;2;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0
0;-1;2;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;1;0
1;-1;6;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1
5;-1;5;1;1;1;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0
0;-3;8;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;1
1;-1;3;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;1
1;-1;8;1;1;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1
2;-1;6;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1
0;-1;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1
4;-1;4;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1
2;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;1;0
0;-1;8;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1
0;0;7;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1
0;-1;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;1;0
0;-1;4;1;1;1;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0
0;-1;2;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;1;0
0;0;5;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1
0;-1;6;1;1;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1
11;0;7;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1
3;-1;10;1;1;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;1
1;-1;3;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0
2;-1;3;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;1;0
0;-1;2;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0
3;0;6;1;1;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1
0;-1;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1
3;-4;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1
1;-13;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;1
3;-1;4;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1
0;-1;9;1;1;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;1
1;-1;8;1;1;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;1
3;23;1;1;1;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1
5;-1;4;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;1
5;-1;4;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;1
0;0;5;1;1;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;1
5;-1;4;1;1;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1
6;-1;3;1;1;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1
0;-1;3;0;0;1;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1
2;-1;3;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1
0;0;6;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;1;0
4;-11;8;1;1;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;1
0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1
5;-1;3;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1
2;-1;2;1;1;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1
5;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;1;0
0;-1;3;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1
0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;1
0;-1;1;1;1;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;1
3;-1;3;1;1;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;1
0;-3;2;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0
9;-1;10;1;1;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1
0;0;2;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1
0;-1;10;1;1;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1
0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;1;0
0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;1
7;-1;9;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1
0;-1;9;1;1;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1
8;-1;5;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1
2;-1;9;1;1;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1
36;-7;6;1;1;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1
2;0;3;1;1;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;1
3;-22;5;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1
0;-1;7;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0
2;-2;4;1;1;0;1;0;0;1;0;0;0;1;0;0;0;1;0;1;0
1;0;3;1;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;1;0
1;-4;5;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1
0;-1;8;1;1;1;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0
0;-1;3;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;1
0;-1;3;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1
1;-1;2;1;1;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1
0;-1;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1
0;0;6;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;1;0
1;-1;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;1
12;-1;9;1;1;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1
1;0;6;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1
3;0;3;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1
0;-1;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1
2;-1;10;1;1;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1
0;-1;8;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;1
0;-1;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;1
0;0;6;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0
0;-1;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;1
2;-1;6;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;1
6;0;10;1;1;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;1
0;-2;4;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1
0;-1;5;1;1;1;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0
3;0;5;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1
2;-1;4;1;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;1
0;-1;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;1;0
3;0;10;1;1;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1
1;-21;4;0;0;1;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0
1;0;3;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1
0;0;4;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1
1;-1;3;1;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1
2;-1;6;1;1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1
4;-1;9;1;1;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1
0;-1;5;1;1;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1
1;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;1
1;-1;1;1;1;0;1;0;0;1;0;0;0;0;1;0;0;1;0;1;0
0;-1;7;1;1;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1
7;-1;8;1;1;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1
1;-1;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;1;0
0;-1;4;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0
1;-12;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1
1;-1;3;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;1
6;-1;8;1;1;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1
4;-1;9;1;1;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1
