Dept,Gender,Clin,Cert,Prate,Exper,Rank,Sal94,Sal95
5,1,1,0,2.9,8,2,171016,189308
5,1,1,1,3.5,25,3,246763,279255
5,1,1,1,3.4,5,1,175396,189904
5,1,0,1,5.1,8,2,144542,158513
5,1,0,1,4.7,21,3,275377,294336
5,1,1,1,4,18,3,262090,289778
5,1,0,0,5.1,2,1,250000,276163
5,1,0,1,4.6,10,2,158243,177587
5,1,1,0,3.6,26,3,218341,245432
5,1,1,0,3.3,5,1,141044,157509
5,1,1,0,3.9,10,2,164174,183538
5,1,1,1,3.3,16,3,203152,216873
5,1,1,1,3.6,8,1,194784,217478
5,1,1,1,3,15,3,223040,239253
5,0,1,0,4.2,3,1,138635,149539
5,0,1,1,4.1,5,1,176028,192799
5,0,1,1,3.9,2,1,126343,136988
5,0,1,1,3.6,14,3,249687,267554
5,0,1,1,3.8,5,1,127525,139017
5,0,1,1,3.1,13,3,281058,313400
5,0,1,1,3.6,4,1,149631,165420
5,0,1,1,3.8,4,1,142249,154386
5,0,1,1,4.7,7,1,166863,189852
5,0,1,1,2.9,7,1,164080,180937
5,0,1,0,2.9,1,1,112221,126149
5,0,1,0,3.8,5,1,161352,177997
5,0,1,1,2.8,7,1,209818,233774
5,0,0,1,5.1,6,1,133097,147327
5,0,1,1,3.7,5,1,171391,185895
5,0,1,1,3.7,6,1,166482,180608
5,0,1,1,4,12,1,242614,265856
5,0,1,1,3.8,6,1,146396,161031
5,0,1,1,3.8,6,1,130153,139887
5,0,1,1,3.7,8,2,175791,195678
5,0,1,0,3.4,3,1,138775,152231
5,0,1,1,4.3,6,1,167844,189487
5,0,1,1,3.9,10,2,202231,225599
5,0,1,0,3.9,2,1,106802,114961
5,0,0,1,5.8,23,3,204279,227790
5,0,1,1,4.5,8,3,185413,207462
5,0,0,1,4.6,9,2,150258,160253
5,0,1,1,4,5,1,128433,145718
5,0,0,1,5.4,14,1,123940,138566
5,0,0,1,5.4,3,1,107524,116283
6,1,1,1,2.7,6,1,214219,236305
6,1,1,1,2.1,5,1,312966,336960
6,1,1,1,1.9,21,2,342834,367284
6,1,1,1,2.1,16,3,312892,344801
6,1,1,1,2.5,13,3,317399,345204
6,1,1,1,2.4,21,3,342662,369712
6,1,1,1,2.5,5,2,247953,273737
6,1,1,1,3.2,11,3,339533,387205
6,1,1,1,2.4,22,3,393408,435572
6,1,1,1,2.5,5,1,206097,220899
6,1,1,1,2.4,27,3,419129,472589
6,1,1,1,1.9,5,1,250667,270417
6,1,1,1,2.9,6,1,212780,237094
6,1,1,1,2.7,7,1,232735,261236
6,1,0,1,4.4,11,2,244940,269554
6,1,1,1,2.2,13,2,287433,314926
6,1,1,1,2.8,7,1,279661,317179
6,1,1,1,2.7,12,3,428876,462342
6,1,1,1,2.4,10,2,326460,364139
6,1,1,1,3.2,10,3,366150,408898
6,1,1,1,2.3,8,3,299582,339637
6,1,1,1,2.1,5,2,259576,280168
6,1,1,1,1.9,12,1,316754,349294
6,1,1,1,2.5,7,1,220374,239614
6,1,1,1,1.3,7,1,262328,295619
6,1,1,1,2.5,14,1,337885,376651
6,1,1,1,2.9,14,2,355982,389994
6,1,1,0,3.1,16,2,298359,320315
6,1,1,1,3,6,1,247576,271773
6,1,1,1,3.3,15,1,251079,275246
6,1,1,0,2.4,2,1,154310,171664
6,1,1,1,3.2,25,3,411219,455468
6,1,1,1,3,15,1,266880,297902
6,1,1,1,2.9,5,1,223736,248014
6,1,1,1,2.7,10,3,322698,356961
6,0,1,1,2.9,8,2,297174,323699
6,0,1,1,2.6,9,3,308081,339664
6,0,1,1,2.8,8,1,211269,241577
6,0,1,1,2.4,2,1,210801,233905
6,0,1,1,3.2,5,1,244551,265502
