Age,Workclass,Education,Marital_Status,Occupation,FamilyStatus,Race,Sex,Native_Country,Salary
36,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
28,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
53,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States,>50K
49,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
19,Private,Some-college,Never-married,Prof-specialty,Own-child,White,Male,United-States,<=50K
31,Private,Bachelors,Separated,Sales,Own-child,Black,Female,United-States,<=50K
29,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
23,Private,Some-college,Never-married,Machine-op-inspct,Not-in-family,White,Male,United-States,<=50K
79,Private,Some-college,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,United-States,<=50K
27,Private,HS-grad,Never-married,Other-service,Own-child,White,Male,Mexico,<=50K
40,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,<=50K
18,Private,11th,Never-married,Other-service,Own-child,White,Female,United-States,<=50K
31,Local-gov,7th-8th,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,<=50K
18,Private,HS-grad,Never-married,Sales,Not-in-family,White,Male,United-States,<=50K
52,Private,Bachelors,Married-civ-spouse,Other-service,Husband,White,Male,Cuba,<=50K
46,Private,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,United-States,<=50K
59,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
44,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Female,United-States,>50K
53,Private,HS-grad,Divorced,Sales,Own-child,White,Female,United-States,<=50K
49,Local-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States,>50K
33,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K
30,Private,9th,Never-married,Sales,Not-in-family,White,Male,United-States,<=50K
43,Federal-gov,Doctorate,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,>50K
57,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K
37,Private,Some-college,Divorced,Craft-repair,Unmarried,White,Female,United-States,<=50K
28,Private,Some-college,Divorced,Machine-op-inspct,Unmarried,Black,Female,United-States,<=50K
34,Local-gov,Bachelors,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States,>50K
29,Local-gov,Some-college,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,<=50K
48,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
37,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
48,Private,Assoc-acdm,Divorced,Exec-managerial,Unmarried,White,Female,England,<=50K
32,Federal-gov,HS-grad,Never-married,Other-service,Own-child,Black,Male,United-States,<=50K
76,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
44,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
47,Self-emp-not-inc,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,<=50K
20,Private,Some-college,Never-married,Tech-support,Own-child,White,Female,United-States,<=50K
29,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,United-States,<=50K
32,Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
30,Private,11th,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,<=50K
31,Local-gov,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
42,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,<=50K
24,Private,Bachelors,Never-married,Sales,Other-relative,White,Male,United-States,<=50K
38,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
56,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,Canada,>50K
28,Private,Some-college,Married-civ-spouse,Sales,Wife,White,Female,United-States,<=50K
36,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,White,Female,United-States,<=50K
53,Private,9th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,<=50K
56,Self-emp-inc,Some-college,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
49,Local-gov,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,Black,Male,United-States,>50K
55,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
22,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,United-States,<=50K
21,Private,Some-college,Never-married,Other-service,Own-child,White,Female,United-States,<=50K
40,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,<=50K
30,Private,Bachelors,Never-married,Exec-managerial,Own-child,Black,Male,Germany,<=50K
29,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
19,Private,Some-college,Never-married,Other-service,Own-child,Black,Male,United-States,<=50K
47,Private,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,>50K
20,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,United-States,<=50K
31,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,>50K
39,Private,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,United-States,<=50K
28,Private,Assoc-acdm,Never-married,Sales,Not-in-family,White,Female,United-States,<=50K
24,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Female,United-States,<=50K
38,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
37,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
46,Private,Assoc-acdm,Divorced,Tech-support,Not-in-family,Black,Female,United-States,<=50K
38,Federal-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,Iran,>50K
43,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
27,Private,Assoc-voc,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States,<=50K
20,Private,Some-college,Never-married,Sales,Own-child,White,Male,United-States,<=50K
49,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,United-States,>50K
61,Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
27,Private,Some-college,Never-married,Sales,Own-child,White,Female,United-States,<=50K
19,Private,Some-college,Never-married,Other-service,Own-child,White,Male,Mexico,<=50K
45,Private,Assoc-voc,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,>50K
70,Private,Some-college,Never-married,Tech-support,Other-relative,White,Male,United-States,<=50K
31,Private,HS-grad,Never-married,Transport-moving,Unmarried,Black,Female,United-States,<=50K
22,Private,Some-college,Married-civ-spouse,Other-service,Husband,White,Male,United-States,<=50K
36,Private,HS-grad,Widowed,Other-service,Unmarried,White,Female,United-States,<=50K
64,Private,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
47,Local-gov,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,Mexico,<=50K
34,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
33,Private,Bachelors,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,Philippines,<=50K
21,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,United-States,<=50K
48,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
23,Private,Bachelors,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,<=50K
71,Self-emp-not-inc,Some-college,Separated,Sales,Unmarried,Black,Male,United-States,<=50K
29,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,United-States,<=50K
42,Private,Bachelors,Separated,Other-service,Other-relative,Black,Male,United-States,<=50K
25,Private,HS-grad,Never-married,Other-service,Unmarried,White,Female,United-States,<=50K
44,Self-emp-inc,Masters,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,United-States,<=50K
28,Private,HS-grad,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,England,<=50K
45,Self-emp-not-inc,Masters,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
36,Private,Some-college,Divorced,Other-service,Unmarried,White,Female,Mexico,<=50K
39,Federal-gov,Assoc-acdm,Never-married,Exec-managerial,Not-in-family,White,Male,United-States,<=50K
46,State-gov,Masters,Widowed,Protective-serv,Unmarried,White,Male,United-States,<=50K
18,Private,11th,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,<=50K
66,Local-gov,Assoc-voc,Widowed,Prof-specialty,Not-in-family,White,Female,United-States,<=50K
27,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Male,United-States,<=50K
28,State-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States,<=50K
51,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
27,Private,Bachelors,Never-married,Craft-repair,Not-in-family,White,Male,United-States,<=50K
28,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
27,Private,HS-grad,Married-spouse-absent,Sales,Unmarried,White,Female,United-States,<=50K
21,Private,HS-grad,Never-married,Craft-repair,Own-child,Black,Male,United-States,<=50K
34,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,Black,Male,United-States,<=50K
18,Private,HS-grad,Never-married,Other-service,Own-child,White,Male,United-States,<=50K
33,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K
44,Local-gov,Some-college,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States,>50K
43,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
30,Private,Some-college,Never-married,Craft-repair,Not-in-family,Black,Male,United-States,<=50K
40,Private,7th-8th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,Mexico,>50K
37,Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,>50K
34,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,Black,Male,United-States,<=50K
41,Self-emp-not-inc,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Female,United-States,<=50K
31,Private,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,<=50K
58,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
38,Private,Some-college,Divorced,Machine-op-inspct,Not-in-family,Black,Female,United-States,<=50K
24,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K
41,Local-gov,Bachelors,Married-civ-spouse,Craft-repair,Husband,Black,Male,United-States,<=50K
47,Private,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,<=50K
41,Federal-gov,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,<=50K
23,Private,5th-6th,Married-civ-spouse,Transport-moving,Other-relative,White,Male,Mexico,<=50K
36,Private,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,United-States,<=50K
40,Federal-gov,Masters,Never-married,Exec-managerial,Not-in-family,White,Female,United-States,>50K
35,Private,Masters,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,United-States,>50K
24,Self-emp-not-inc,HS-grad,Never-married,Sales,Not-in-family,White,Male,United-States,<=50K
26,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,<=50K
51,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
42,Local-gov,Some-college,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,<=50K
37,State-gov,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,United-States,<=50K
18,Private,11th,Never-married,Sales,Own-child,White,Female,United-States,<=50K
36,Private,Bachelors,Married-civ-spouse,Other-service,Husband,Black,Male,United-States,>50K
35,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,United-States,<=50K
58,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Wife,White,Female,United-States,>50K
17,Private,11th,Never-married,Sales,Own-child,White,Female,United-States,<=50K
44,Local-gov,HS-grad,Married-civ-spouse,Transport-moving,Husband,Black,Male,United-States,<=50K
37,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
35,Private,Some-college,Never-married,Sales,Not-in-family,Amer-Indian-Eskimo,Female,United-States,<=50K
60,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,United-States,<=50K
54,Self-emp-inc,7th-8th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,>50K
37,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,Black,Male,United-States,>50K
50,Private,Assoc-acdm,Divorced,Sales,Not-in-family,White,Female,United-States,<=50K
38,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,Poland,<=50K
45,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K
25,Private,10th,Never-married,Craft-repair,Not-in-family,White,Male,United-States,<=50K
31,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,<=50K
90,Private,HS-grad,Never-married,Other-service,Not-in-family,Black,Male,United-States,<=50K
54,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,Black,Male,United-States,<=50K
53,Local-gov,Preschool,Never-married,Machine-op-inspct,Not-in-family,White,Female,United-States,<=50K
18,Private,HS-grad,Never-married,Sales,Own-child,White,Female,United-States,<=50K
66,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,<=50K
75,Private,Assoc-voc,Widowed,Adm-clerical,Not-in-family,White,Female,Columbia,<=50K
65,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
35,Private,11th,Separated,Transport-moving,Not-in-family,Black,Male,United-States,<=50K
41,Private,HS-grad,Divorced,Sales,Unmarried,Black,Female,United-States,<=50K
25,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Male,United-States,<=50K
33,Private,Some-college,Divorced,Craft-repair,Other-relative,Other,Female,United-States,<=50K
28,Private,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,>50K
59,State-gov,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,United-States,<=50K
40,State-gov,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
41,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,Iran,>50K
38,Local-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
23,Private,HS-grad,Never-married,Transport-moving,Own-child,White,Male,United-States,<=50K
40,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
41,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,United-States,<=50K
24,State-gov,Assoc-acdm,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States,<=50K
38,Private,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,United-States,<=50K
58,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,>50K
32,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Female,United-States,<=50K
40,Private,Assoc-acdm,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,>50K
41,Private,Prof-school,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,>50K
42,Private,Bachelors,Married-civ-spouse,Adm-clerical,Wife,Black,Female,United-States,<=50K
59,Local-gov,10th,Widowed,Other-service,Unmarried,Black,Female,United-States,<=50K
19,Local-gov,Some-college,Never-married,Adm-clerical,Own-child,White,Male,United-States,<=50K
58,Private,Some-college,Never-married,Transport-moving,Not-in-family,White,Male,United-States,<=50K
42,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,Cambodia,>50K
20,Private,HS-grad,Never-married,Other-service,Own-child,White,Female,United-States,<=50K
32,Private,HS-grad,Separated,Other-service,Not-in-family,White,Female,United-States,<=50K
45,Private,Assoc-voc,Widowed,Exec-managerial,Not-in-family,White,Female,United-States,<=50K
50,Private,7th-8th,Divorced,Craft-repair,Not-in-family,White,Male,United-States,<=50K
36,Private,Bachelors,Divorced,Prof-specialty,Own-child,White,Female,United-States,<=50K
45,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
17,Private,11th,Never-married,Other-service,Own-child,White,Male,United-States,<=50K
59,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
26,Private,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
37,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,Thailand,>50K
64,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
33,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,<=50K
33,Private,HS-grad,Married-civ-spouse,Craft-repair,Wife,White,Female,United-States,>50K
61,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
17,Private,9th,Never-married,Other-service,Own-child,White,Male,United-States,<=50K
50,Self-emp-not-inc,Masters,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,<=50K
27,Local-gov,Masters,Never-married,Prof-specialty,Own-child,White,Male,United-States,<=50K
30,Private,HS-grad,Divorced,Prof-specialty,Own-child,White,Female,United-States,<=50K
43,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,United-States,<=50K
44,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
35,Private,Some-college,Never-married,Exec-managerial,Not-in-family,White,Female,United-States,<=50K
25,Private,Some-college,Never-married,Tech-support,Own-child,White,Female,United-States,<=50K
24,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,United-States,>50K
22,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,Germany,<=50K
42,Local-gov,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
34,Private,Assoc-acdm,Divorced,Sales,Unmarried,Black,Female,United-States,<=50K
60,Private,Bachelors,Divorced,Prof-specialty,Not-in-family,White,Female,United-States,<=50K
21,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,<=50K
57,Federal-gov,Masters,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
41,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
50,Private,Some-college,Divorced,Other-service,Not-in-family,White,Male,United-States,<=50K
25,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,United-States,<=50K
50,Private,7th-8th,Married-civ-spouse,Craft-repair,Husband,White,Male,Ecuador,<=50K
36,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K
31,Private,HS-grad,Divorced,Prof-specialty,Not-in-family,White,Female,United-States,<=50K
29,Local-gov,Bachelors,Never-married,Protective-serv,Not-in-family,White,Male,United-States,<=50K
21,Private,Some-college,Never-married,Sales,Own-child,White,Male,United-States,<=50K
27,Private,Bachelors,Never-married,Tech-support,Unmarried,Black,Female,United-States,<=50K
65,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K
37,Self-emp-inc,Bachelors,Divorced,Sales,Not-in-family,White,Female,United-States,<=50K
24,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,United-States,<=50K
38,Private,HS-grad,Divorced,Sales,Not-in-family,White,Male,United-States,<=50K
48,Private,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,>50K
21,Private,Some-college,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Female,United-States,<=50K
31,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,>50K
55,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
24,Private,Some-college,Married-civ-spouse,Adm-clerical,Wife,Asian-Pac-Islander,Female,Laos,<=50K
43,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
26,Private,Assoc-acdm,Never-married,Tech-support,Not-in-family,White,Male,United-States,<=50K
46,Private,Assoc-acdm,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,<=50K
35,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,>50K
41,Self-emp-inc,Some-college,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,>50K
26,Private,Bachelors,Never-married,Sales,Not-in-family,White,Male,United-States,<=50K
34,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,Taiwan,>50K
36,Self-emp-not-inc,Bachelors,Divorced,Prof-specialty,Not-in-family,Black,Female,United-States,>50K
22,Private,Some-college,Never-married,Sales,Own-child,White,Male,United-States,<=50K
24,Private,Some-college,Never-married,Machine-op-inspct,Not-in-family,White,Male,United-States,<=50K
77,Self-emp-not-inc,Some-college,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
22,Private,5th-6th,Married-civ-spouse,Machine-op-inspct,Other-relative,White,Female,Mexico,<=50K
29,Private,Some-college,Never-married,Tech-support,Not-in-family,White,Female,United-States,<=50K
62,Private,HS-grad,Widowed,Other-service,Not-in-family,White,Female,United-States,<=50K
39,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,<=50K
43,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
35,Private,HS-grad,Divorced,Transport-moving,Not-in-family,White,Male,United-States,<=50K
29,Private,11th,Never-married,Exec-managerial,Not-in-family,White,Female,United-States,<=50K
76,Self-emp-not-inc,Masters,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
