PublicationRate_Low;PublicationRate_Medium;PublicationRate_High;PublicationRate_Very_High;years_since_MD_Low;years_since_MD_Medium;years_since_MD_High;years_since_MD_Very_High;SalaryIncrease_Low_Medium;SalaryIncrease_High_Very_High;Dept_Biochemistry;Dept_Physiology;Dept_Genetics;Dept_Pediatrics;Dept_Medicine;Dept_Surgery;Gender_Female;Gender_Male;Research_emphasis;Clinical_emphasis;Board_certified_no;Board_certified_yes;Rank_Assistant;Rank_Associate;Rank_FullProfessor
0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0;1
0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;1;1;0;0;1;0;0;1
0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;1;0;0;1;0;0;1
0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;1
0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;1
0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0
0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;1
0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;1
0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;1;1;0;1;0;1;0;0
0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;1;0;1;0;0
0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;1;0;1;0;0;1;0;1;0
0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;1;1;0;0
0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;1;0;1;0;1;0;0;1;0
0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;1;0;1;0;1;0;0;1;0
0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;1;0;1;0;1;0;1;0;0
0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;1
0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;1;1;0;0
0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;1
0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;1
0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;1;0;1;0;1;0;0;1;0
0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;1;0;1;0;0;1;1;0;0
0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;1;0;1;0;0;1;1;0;0
0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0;1;0;1;1;0;0
0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;1;0;1;0;1;0;1;0;0
0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;1;0;1;0;0
0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;1;0;1;0;1;0
0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;1;0;1;0;1;0;1;0;0
0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;1;1;0;0
0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;1;1;0;0
0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;1;0;1;1;0;0
0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;1
0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0;1
0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;1
0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0;1
0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;1;0;1;0
0;0;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;1;0;1;0;0;1
0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;1;1;0;0;1;0;1;0
0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;1
0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;1;1;0;1;0;0;1;0
0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;1;1;0;0;1;0;0;1
0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;1
0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;1;0;0;1;0
0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0;1
0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;1
0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;1
0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;1
0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;1;1;0;1;0;0;1;0
0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;1;1;0;0
0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0;1
0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0;1;0;1;0;1;0
0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;1;1;0;0
0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;1
0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;1
0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;1;0;1;0;0;1;0
0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;1;0;1;0;0
0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;1
0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;1;1;0;0
0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;1;0;1;0;0;1;0;1;0
0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;1;1;0;0
0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;1;0;1;0;0
0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;1;0;1;0;0
0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;1;0;1;0;1;0;0;1;0
0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;1;0;1;0;0
0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;1;1;0;0
0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;1
0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;1;1;0;0
0;0;1;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;1;0;1;0;1;0
0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;1;0;1;0;0
0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;1;0;1;0;0
0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;1
0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;1;0;1;0;0;1;0
0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;1;1;0;0
0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;1
0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;1;0;1;0;0;1
0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;1;0;1;0;0;1
0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;1;0;1;0;0;1
0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;1;1;0;0;1;0
0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;1;0;1;0;0
0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;1;1;0;0
0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;1
0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;1;0;1;0;1;0;1;0;0
0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;1;0;1;0;0
0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;1
0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;1;0;1;0
0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;1;0;1;0;0
0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;1;0;1;0;0
0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;1;0;1;0;1;0;1;0;0
0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;1;0;1;0;0;1;0;1;0
0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;1;0;1;0;1;0;0;1;0
0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;1;0;1;0;0
1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;1;1;0;0
0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;1;0;0;1;0;0;1
0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;1;0;1;0;1;0
1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;1;0;1;0;1;0
0;0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;1
1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;1;1;0;0
1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;1;0;1;0
1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;1;0;1;0
0;0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;1;0;1;0;0;1;0
0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;1;1;0;0
0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;1;1;0;0
0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;1;1;0;0
1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;1;1;0;0
1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;1;0;1;0
1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;1;1;0;0
0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;1;0;0;1
0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;1;1;0;0
0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;1;1;0;0
1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;1;0;1;0
1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;1;0;1;0
0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;1;1;0;0
1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;1;0;0;1
1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;1;1;0;0
0;0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;1;0;0;1;1;0;0
0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;1;1;0;0
0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;1;0;0;1;0
1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;1;1;0;0
0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;1;1;0;0
1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;1;0;1;1;0;0
0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;1;1;0;0
0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;1;0;1;1;0;0
1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;1;1;0;0;1;0
0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;1;0;1;0
1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;1;1;0;0
0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;1;0;0;1;0;0;1
0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;1;0;1;0;1;0
1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;1;0;1;0;0;1
0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;1;0;0;1;0;0;1
0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;1;0;1;0;0;1
0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;1;0;1;0;1;0
1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;1;0;1;0;1;0
1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;1;0;1;0;0;1
0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;1;0;1;0;0;1
0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;1;0;1;0
0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;1;1;0;0
0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;1;0;1;0;1;0
0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;1
0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;1
0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;1;0;0;1
0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;1;1;0;0
0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;1;1;0;0
1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;1;0;1;0;0;1
0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;1;1;0;0
1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;1;0;1;0;0;1
1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;1;1;0;0
1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;1;1;0;0
0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;1;1;0;0
0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;1;1;0;0
0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;1;0;1;0
1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;1;1;0;0
0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;1;0;1;0;0;1
1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0
0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;1;0;1;0;1;0
1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;1;1;0;0
0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;1
0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;1;0;1;0;1;0
1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;1;1;0;0;1;0
0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;1;0;1;0;0;1
0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;1;1;0;0
0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;1;0;1;0
0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;1;0;0;1;0;0;1
0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;1;0;1;0;0;1
0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;1;0;1;0;0
0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;1;0;0;1;0;1;0
0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;1;1;0;0;0;1
0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0
0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;1;1;0;0;1;0
0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;1;0;1;0;0;1
0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;1;1;0;0
1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;1;0;1;0;0;1
0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;1;0;1;0;0
0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;1;1;0;0
0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;1;1;0;0
0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;1;0;1;0;0;1
0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;1;1;0;0
1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;1;0;1;0;0;1
0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;1;1;0;0
0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;1;1;0;0
0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;1;1;0;0
1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;1;1;0;0
1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;1;0;1;0;0
0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;1;0;1;0;0
1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;1;1;0;0
0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;0;1;1;0;0
0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;1;1;0;0
0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;1;1;0;0
0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;1;0;1;1;0;0
0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;1;1;0;0
0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;1;1;0;0
0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;1;0;1;0
0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;1;0;1;0;0
0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;1;1;0;0
0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;1;0;1;0;1;0
0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;1;0;1;0;0
0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;1;0;0;1;0;0;1
0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;1;0;0;1
0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;1;0;1;0
0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;1;1;0;0
0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;1;0;0;1;1;0;0
0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;1;1;0;0
1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;1;1;0;0
1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;1;1;0;0
1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0
1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;1;0;1;0;0;1
1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;1;0;1;0;0;1
1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;1;0;1;0;0;1
1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0
1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;1;0;1;0;0;1
1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;1;0;1;0;0;1
1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;1;1;0;0
1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;1;0;1;0;0;1
1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;1;1;0;0
1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;1;1;0;0
1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;1;1;0;0
0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;1;0;0;1;0;1;0
1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0
1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;1;1;0;0
1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;1;0;1;0;0;1
1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0
1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;1;0;1;0;0;1
1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;1;0;0;1
1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0
1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;1;0;1;1;0;0
1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;1;1;0;0
1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;1;1;0;0
1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;1;0;1;1;0;0
1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0
1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;1;1;0;0;1;0
1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;1;1;0;0
0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;1;0;1;1;0;0
1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;1;0;1;0;0
1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;1;0;1;0;0;1
1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;1;0;1;1;0;0
1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;1;1;0;0
1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;1;0;1;0;0;1
1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;1;0;1;0;1;0
1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;1;0;1;0;0;1
1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;1;0;1;1;0;0
1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;1;0;1;1;0;0
1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;1;0;1;1;0;0
