age,c_charge_degree,race,sex,priors_count,decile_score
25,F,African-American,Male,0,Low
22,M,Caucasian,Male,1,High
37,M,Other,Female,0,Low
40,F,Other,Female,3,Low
31,M,Hispanic,Female,0,Low
23,F,Hispanic,Male,1,High
23,F,Caucasian,Female,5,Low
24,M,Hispanic,Male,0,High
29,M,African-American,Male,1,Low
20,F,African-American,Male,1,High
30,F,African-American,Male,2,High
39,F,Other,Male,0,Low
27,F,African-American,Male,4,Low
37,F,African-American,Female,2,Low
20,F,African-American,Male,0,High
22,F,Hispanic,Male,0,High
52,F,African-American,Female,0,Low
23,F,African-American,Female,0,Low
48,F,African-American,Female,0,Low
25,F,Caucasian,Male,0,Low
27,F,Caucasian,Male,0,High
30,F,African-American,Male,11,High
22,M,African-American,Male,3,High
22,F,Caucasian,Female,1,Low
41,M,African-American,Female,2,Low
25,F,Other,Female,0,Low
52,F,African-American,Male,3,High
43,F,African-American,Male,0,Low
37,F,Caucasian,Male,3,Low
70,M,Caucasian,Male,1,Low
46,F,Caucasian,Male,3,Low
21,M,African-American,Male,0,High
26,M,African-American,Male,1,High
38,F,Hispanic,Male,3,Low
34,M,Caucasian,Male,5,Low
34,M,African-American,Male,5,Low
23,F,Caucasian,Male,0,Low
34,F,African-American,Male,5,Low
39,F,African-American,Male,6,Low
24,F,Other,Male,0,Low
58,F,Caucasian,Male,2,Low
21,M,African-American,Female,0,High
23,M,African-American,Male,4,High
62,F,Caucasian,Male,0,Low
37,F,Caucasian,Male,5,Low
43,F,Other,Male,2,Low
32,F,African-American,Female,5,Low
23,F,Hispanic,Male,0,Low
27,M,African-American,Male,0,Low
44,M,Caucasian,Male,0,Low
28,M,Caucasian,Male,3,Low
42,F,Caucasian,Female,0,Low
24,F,Other,Male,9,High
27,F,African-American,Male,0,Low
20,F,African-American,Male,0,High
51,M,Caucasian,Female,0,Low
56,M,Caucasian,Male,0,Low
29,F,African-American,Male,7,High
20,F,African-American,Male,0,High
27,F,Caucasian,Male,8,Low
24,F,African-American,Male,2,High
53,F,Caucasian,Male,36,High
28,M,Caucasian,Male,2,Low
21,F,Hispanic,Male,3,Low
36,F,African-American,Female,0,High
25,M,Caucasian,Female,2,Low
23,M,Hispanic,Female,1,Low
28,F,Caucasian,Male,1,Low
21,F,African-American,Female,0,High
36,M,Caucasian,Male,0,Low
24,F,African-American,Male,0,Low
30,F,Other,Male,1,Low
29,F,African-American,Male,0,Low
30,M,Caucasian,Female,0,High
51,M,Hispanic,Male,1,Low
32,F,African-American,Male,12,High
23,F,African-American,Male,1,High
47,F,African-American,Male,3,Low
37,F,Caucasian,Male,0,Low
19,F,African-American,Male,2,High
27,M,Hispanic,Male,0,High
39,M,Other,Male,0,Low
21,F,Caucasian,Female,0,High
69,M,Caucasian,Male,0,Low
21,F,Caucasian,Male,2,High
26,M,African-American,Male,6,High
22,F,Caucasian,Male,0,Low
23,F,African-American,Female,0,Low
49,F,African-American,Male,3,Low
29,M,African-American,Male,2,Low
60,M,Caucasian,Female,0,Low
23,F,African-American,Male,3,High
20,F,Other,Female,1,Low
36,F,Hispanic,Male,1,Low
30,F,Caucasian,Male,0,Low
21,F,African-American,Male,1,Low
22,M,Caucasian,Male,2,High
21,F,African-American,Male,4,High
21,F,African-American,Male,0,Low
34,M,Caucasian,Male,1,Low
50,M,Caucasian,Female,1,Low
40,F,Caucasian,Male,0,High
25,F,African-American,Male,7,High
53,M,Caucasian,Female,1,Low
24,F,African-American,Female,0,Low
42,F,African-American,Male,1,Low
28,M,African-American,Male,1,Low
26,F,African-American,Male,6,High
22,F,African-American,Male,4,High
21,M,Caucasian,Male,3,High
37,F,African-American,Male,23,High
35,F,African-American,Male,2,Low
53,F,African-American,Male,2,Low
29,F,African-American,Male,7,Low
48,F,Caucasian,Male,23,High
52,M,Caucasian,Female,0,Low
27,F,African-American,Male,12,High
28,F,African-American,Male,5,High
33,M,Caucasian,Male,3,Low
28,F,Hispanic,Female,0,Low
36,F,African-American,Male,14,High
29,F,African-American,Male,2,Low
22,M,African-American,Male,0,High
25,F,Caucasian,Male,0,Low
56,F,African-American,Male,5,Low
27,F,African-American,Male,9,High
52,F,Caucasian,Male,4,Low
32,F,African-American,Male,3,Low
60,F,Other,Male,4,Low
23,M,Hispanic,Male,1,Low
39,M,Caucasian,Female,0,High
56,M,Caucasian,Male,0,Low
22,F,African-American,Female,0,High
53,F,African-American,Male,11,High
25,M,Caucasian,Male,0,Low
21,M,Hispanic,Male,0,Low
22,F,Caucasian,Male,0,Low
58,M,Caucasian,Female,2,Low
31,M,African-American,Male,7,Low
22,F,Caucasian,Male,1,Low
28,F,African-American,Male,8,High
42,F,Other,Male,1,Low
20,F,African-American,Male,0,High
29,M,Caucasian,Male,0,High
58,M,African-American,Male,21,High
22,F,African-American,Male,3,High
48,M,Hispanic,Male,1,Low
37,F,Caucasian,Male,0,Low
57,F,African-American,Male,1,Low
27,M,Caucasian,Male,3,Low
26,F,African-American,Male,3,Low
24,F,Caucasian,Male,3,High
33,F,Caucasian,Male,0,Low
29,F,African-American,Male,2,High
24,F,African-American,Female,3,High
19,F,Caucasian,Male,1,High
36,M,Caucasian,Male,2,Low
24,F,Caucasian,Female,0,Low
34,M,Caucasian,Male,0,Low
25,F,Hispanic,Male,2,Low
20,F,African-American,Male,1,High
24,M,African-American,Male,1,Low
61,F,Caucasian,Male,4,Low
50,F,African-American,Female,3,Low
30,M,African-American,Male,1,Low
38,F,African-American,Male,5,Low
24,M,Caucasian,Male,0,Low
46,F,African-American,Female,2,High
41,M,Caucasian,Male,0,Low
20,F,Other,Male,0,High
27,M,African-American,Male,13,High
26,M,African-American,Male,1,High
29,F,African-American,Male,3,Low
52,F,Caucasian,Male,6,Low
28,F,Caucasian,Male,1,Low
55,F,African-American,Male,5,Low
26,F,African-American,Male,10,High
28,F,African-American,Male,5,High
63,F,Caucasian,Male,2,Low
42,F,African-American,Male,0,Low
23,F,African-American,Male,6,High
54,F,African-American,Male,28,High
35,F,African-American,Male,8,High
24,F,African-American,Female,6,High
54,M,African-American,Male,2,Low
58,M,African-American,Male,12,High
23,M,Caucasian,Male,1,Low
35,M,African-American,Male,1,Low
20,F,African-American,Male,1,High
51,F,Caucasian,Male,0,Low
24,F,Hispanic,Male,0,High
37,F,Caucasian,Male,3,Low
47,F,Caucasian,Male,3,Low
34,F,Caucasian,Male,4,High
56,F,Caucasian,Male,0,Low
34,F,Hispanic,Male,4,Low
59,F,Caucasian,Male,1,Low
35,F,Asian,Male,0,High
58,F,Hispanic,Male,1,Low
29,M,Hispanic,Male,2,Low
24,F,Caucasian,Female,6,High
21,M,Caucasian,Male,2,High
50,F,Asian,Male,5,High
26,F,African-American,Male,1,Low
30,M,Caucasian,Female,0,Low
29,M,Caucasian,Male,0,Low
54,M,African-American,Male,0,Low
29,F,African-American,Male,4,Low
59,M,Caucasian,Female,0,Low
38,F,African-American,Male,0,Low
27,M,Caucasian,Male,1,Low
26,F,Hispanic,Male,7,Low
52,F,Hispanic,Male,20,Low
66,F,African-American,Male,33,High
27,F,Caucasian,Male,2,Low
51,M,Caucasian,Male,1,Low
35,F,Caucasian,Male,1,Low
52,M,Caucasian,Male,4,Low
48,F,Other,Male,12,Low
26,M,African-American,Female,0,Low
48,M,Caucasian,Female,0,Low
30,M,Hispanic,Male,7,Low
28,M,Other,Male,2,Low
33,M,African-American,Male,2,Low
34,F,African-American,Female,6,Low
25,M,Other,Male,0,Low
59,F,African-American,Male,10,High
29,F,African-American,Male,5,Low
24,F,Caucasian,Male,0,Low
48,F,Caucasian,Male,1,High
52,M,African-American,Male,4,Low
20,F,African-American,Male,0,Low
25,F,Caucasian,Male,4,Low
24,F,Caucasian,Male,0,Low
23,M,Caucasian,Male,0,High
27,F,Caucasian,Male,6,Low
25,M,African-American,Male,1,Low
31,F,African-American,Male,0,Low
25,F,African-American,Male,6,Low
32,F,Caucasian,Male,1,Low
21,F,Caucasian,Male,0,Low
37,F,Other,Male,1,Low
25,F,Caucasian,Male,0,Low
32,F,Hispanic,Male,20,High
35,F,African-American,Male,0,High
42,F,African-American,Male,14,High
24,M,Caucasian,Male,9,High
21,F,Hispanic,Male,0,High
47,M,Caucasian,Male,1,Low
27,F,African-American,Male,5,High
43,M,Hispanic,Male,2,Low
46,F,Caucasian,Male,2,High
44,M,African-American,Male,1,Low
23,F,Caucasian,Male,2,Low
42,F,African-American,Male,8,Low
58,F,African-American,Male,6,High
26,F,African-American,Male,3,High
48,F,Other,Female,0,Low
39,F,African-American,Male,3,Low
21,F,African-American,Male,3,Low
63,M,Caucasian,Male,1,Low
22,F,African-American,Male,3,High
50,M,African-American,Male,3,Low
38,F,African-American,Male,0,Low
41,F,Caucasian,Male,1,High
28,F,African-American,Male,16,High
30,M,African-American,Female,0,Low
23,F,African-American,Male,1,Low
25,F,Caucasian,Male,2,Low
40,F,Caucasian,Male,5,Low
24,F,Hispanic,Male,8,High
27,M,African-American,Male,5,Low
44,M,Caucasian,Male,11,Low
35,F,African-American,Female,6,Low
42,M,Caucasian,Male,0,Low
38,F,African-American,Male,15,High
26,F,Hispanic,Male,4,High
25,M,African-American,Female,0,Low
64,F,Hispanic,Male,1,Low
49,M,Caucasian,Female,2,Low
50,F,Caucasian,Male,5,Low
66,M,Caucasian,Male,0,Low
46,M,Caucasian,Female,0,Low
30,F,African-American,Male,5,High
22,M,Caucasian,Female,0,Low
23,M,Caucasian,Male,1,Low
30,M,Other,Male,0,High
31,M,Hispanic,Male,0,Low
31,F,Other,Male,1,Low
25,M,African-American,Male,0,Low
21,F,Caucasian,Female,0,High
27,M,African-American,Male,0,Low
20,M,Hispanic,Male,0,Low
32,F,Hispanic,Male,1,Low
24,F,Caucasian,Female,0,Low
20,F,African-American,Male,1,Low
31,M,African-American,Male,3,High
27,M,African-American,Male,3,High
40,F,African-American,Male,0,Low
22,F,African-American,Male,11,High
38,F,African-American,Female,1,Low
36,M,Hispanic,Male,1,High
30,M,African-American,Male,1,High
27,F,Caucasian,Male,6,High
59,M,Caucasian,Female,0,Low
37,M,Caucasian,Male,2,Low
28,M,African-American,Male,5,High
38,F,Caucasian,Male,0,Low
22,F,African-American,Male,0,High
25,F,African-American,Male,4,Low
51,M,Caucasian,Male,0,Low
29,M,Caucasian,Male,2,Low
28,F,African-American,Male,10,Low
55,M,African-American,Male,9,Low
23,F,Caucasian,Female,3,High
22,M,African-American,Female,0,Low
19,F,Caucasian,Female,2,High
31,M,African-American,Male,1,Low
29,M,African-American,Male,0,Low
61,F,African-American,Male,15,High
31,M,Hispanic,Male,0,Low
20,F,African-American,Male,4,High
26,F,Caucasian,Male,3,High
27,M,Caucasian,Male,5,High
25,F,Caucasian,Male,1,Low
23,F,Caucasian,Male,3,Low
38,F,African-American,Male,0,Low
27,F,African-American,Male,18,High
35,F,Caucasian,Female,0,Low
22,F,Other,Male,0,High
58,F,African-American,Female,4,Low
57,M,Caucasian,Female,0,Low
21,F,African-American,Male,0,Low
22,F,African-American,Female,0,High
30,F,African-American,Male,0,Low
30,F,African-American,Male,8,High
31,F,African-American,Female,10,High
45,F,Caucasian,Female,1,High
39,F,Caucasian,Male,2,Low
31,F,African-American,Male,0,High
22,F,African-American,Male,1,Low
27,F,African-American,Male,13,High
38,F,Caucasian,Male,1,Low
31,F,African-American,Male,23,High
47,F,African-American,Male,20,High
22,F,African-American,Male,3,High
35,M,African-American,Male,1,High
23,M,Hispanic,Male,2,High
65,M,African-American,Male,2,Low
35,M,African-American,Male,0,Low
33,F,African-American,Female,0,Low
53,M,Caucasian,Male,1,Low
52,F,Hispanic,Male,0,Low
21,F,African-American,Male,0,Low
37,F,African-American,Male,11,Low
30,M,Other,Male,4,High
54,F,Other,Male,0,Low
31,M,African-American,Female,0,Low
59,F,Caucasian,Female,2,Low
27,M,African-American,Male,0,Low
36,M,African-American,Male,0,High
46,F,African-American,Male,17,High
22,F,African-American,Male,3,High
28,M,Caucasian,Female,0,Low
34,F,Caucasian,Female,15,High
29,F,Hispanic,Male,7,High
23,M,African-American,Male,2,High
27,F,African-American,Male,3,Low
21,F,Asian,Male,0,High
48,F,Caucasian,Male,3,Low
31,F,African-American,Male,5,High
36,M,African-American,Male,4,Low
44,F,African-American,Male,14,High
53,F,Caucasian,Male,2,Low
33,M,African-American,Male,3,Low
47,F,Caucasian,Male,2,Low
57,F,African-American,Male,20,High
28,M,African-American,Male,2,Low
24,M,African-American,Male,1,High
44,F,African-American,Male,1,Low
46,F,African-American,Male,0,Low
37,F,African-American,Male,6,Low
26,M,African-American,Male,10,High
27,F,African-American,Male,10,High
40,F,Caucasian,Male,1,Low
60,F,Caucasian,Female,9,Low
53,F,Caucasian,Male,1,Low
28,F,African-American,Male,0,Low
23,M,Hispanic,Male,0,Low
46,F,Caucasian,Female,2,High
23,F,African-American,Male,0,Low
50,F,African-American,Male,18,High
45,M,African-American,Male,0,Low
22,F,African-American,Male,1,Low
26,F,Caucasian,Male,1,Low
62,F,Caucasian,Male,0,Low
34,M,Caucasian,Male,0,Low
24,F,Hispanic,Male,1,High
21,M,Caucasian,Male,0,Low
25,F,Caucasian,Male,0,Low
68,M,Caucasian,Male,0,Low
21,F,Caucasian,Male,1,Low
37,F,Hispanic,Female,1,Low
22,F,African-American,Male,0,High
42,F,Caucasian,Male,1,Low
22,F,Caucasian,Male,1,Low
45,F,African-American,Male,0,Low
36,F,African-American,Female,4,High
48,F,African-American,Male,2,High
23,F,African-American,Male,6,High
24,F,African-American,Male,0,High
29,F,African-American,Male,0,Low
24,F,African-American,Male,0,Low
50,F,African-American,Male,11,High
34,F,African-American,Male,10,High
23,F,African-American,Male,0,Low
22,M,Caucasian,Female,0,Low
36,F,Other,Male,0,Low
30,F,Caucasian,Male,22,Low
21,F,African-American,Male,0,High
53,F,Caucasian,Female,0,Low
25,M,African-American,Male,7,Low
25,M,African-American,Female,1,High
71,F,African-American,Male,8,Low
39,M,African-American,Male,10,High
37,F,African-American,Female,0,Low
20,F,African-American,Male,0,Low
29,F,African-American,Female,3,Low
22,F,African-American,Male,2,Low
26,F,African-American,Male,4,High
47,F,African-American,Female,19,High
21,F,Other,Male,1,Low
23,M,Other,Female,0,High
20,F,Caucasian,Female,1,High
23,F,African-American,Female,0,Low
27,M,Native American,Male,3,High
53,F,African-American,Female,0,Low
23,F,African-American,Female,0,High
26,F,African-American,Male,5,High
25,F,African-American,Male,6,High
23,M,Other,Male,2,Low
27,F,African-American,Male,4,High
29,M,African-American,Male,1,Low
27,F,Other,Male,1,Low
28,F,Hispanic,Male,0,Low
31,M,African-American,Male,0,Low
41,F,African-American,Male,8,High
25,M,Caucasian,Male,0,Low
47,M,Caucasian,Male,0,Low
37,F,African-American,Male,4,Low
35,F,African-American,Female,4,Low
24,M,Caucasian,Male,1,Low
21,F,Caucasian,Male,2,High
22,F,Caucasian,Male,0,Low
57,F,African-American,Male,11,High
48,F,Caucasian,Male,0,High
36,F,Other,Male,0,Low
37,F,African-American,Female,3,High
31,M,Caucasian,Male,0,Low
22,F,African-American,Male,1,High
31,M,Caucasian,Male,2,Low
24,F,African-American,Male,0,Low
32,F,African-American,Male,22,High
23,M,Other,Female,0,Low
63,M,African-American,Male,0,Low
30,F,Other,Male,0,Low
20,F,Caucasian,Male,0,Low
24,M,African-American,Female,1,Low
36,M,African-American,Female,1,Low
83,M,Hispanic,Male,0,Low
28,F,Caucasian,Male,2,High
36,F,African-American,Male,3,Low
33,M,African-American,Female,0,Low
39,F,African-American,Male,0,Low
29,M,Other,Male,3,High
30,F,African-American,Male,17,High
24,F,African-American,Male,1,Low
35,F,African-American,Male,7,High
24,F,African-American,Male,0,Low
26,F,Caucasian,Male,8,Low
28,F,African-American,Male,14,High
32,M,African-American,Male,0,Low
32,M,Caucasian,Female,1,Low
33,M,African-American,Male,5,High
29,F,African-American,Male,16,High
34,M,Caucasian,Male,1,Low
37,M,Other,Female,0,Low
43,M,Caucasian,Male,0,Low
47,F,Caucasian,Male,2,Low
25,M,African-American,Male,3,High
23,F,African-American,Female,1,Low
39,M,Caucasian,Male,2,Low
35,F,African-American,Male,13,High
33,F,Other,Male,0,Low
21,F,Other,Male,0,Low
43,F,African-American,Male,20,High
25,F,African-American,Male,3,High
48,F,African-American,Male,25,High
22,M,African-American,Male,1,High
52,M,African-American,Male,9,High
26,F,Caucasian,Male,5,Low
67,M,African-American,Male,4,High
34,M,African-American,Male,4,Low
56,M,Caucasian,Male,4,Low
28,F,African-American,Male,1,Low
29,M,African-American,Male,2,Low
37,F,African-American,Male,6,Low
43,F,Other,Male,3,Low
51,F,Caucasian,Male,0,Low
20,M,African-American,Male,1,High
26,M,Caucasian,Male,4,High
39,M,Caucasian,Female,1,Low
21,F,African-American,Male,1,High
21,F,African-American,Male,1,High
24,F,Caucasian,Male,3,Low
26,M,African-American,Male,4,High
48,F,Caucasian,Male,1,Low
24,F,African-American,Male,5,Low
26,F,Caucasian,Male,0,Low
46,F,Caucasian,Male,0,Low
24,M,African-American,Male,7,High
21,M,Caucasian,Female,0,Low
24,F,African-American,Male,1,Low
36,M,African-American,Male,9,High
30,F,African-American,Male,5,Low
22,F,Caucasian,Female,1,High
25,F,African-American,Male,0,High
31,M,African-American,Male,25,High
24,F,African-American,Male,0,Low
39,F,African-American,Male,13,High
46,F,Other,Male,0,Low
30,F,African-American,Female,4,Low
40,F,Caucasian,Male,0,Low
52,F,African-American,Female,0,Low
23,F,African-American,Male,3,High
26,M,African-American,Female,1,Low
22,F,Caucasian,Male,1,High
42,F,Caucasian,Male,3,Low
23,F,African-American,Male,6,High
33,F,Other,Male,4,Low
28,F,African-American,Male,1,Low
50,F,Caucasian,Male,1,Low
32,F,African-American,Male,1,High
24,F,Hispanic,Male,3,High
51,F,African-American,Male,3,Low
19,M,Caucasian,Male,1,Low
32,F,African-American,Male,4,Low
31,F,Caucasian,Female,1,Low
29,F,African-American,Female,1,Low
43,M,Hispanic,Male,0,Low
26,F,African-American,Male,9,High
27,F,Caucasian,Male,0,High
52,F,Caucasian,Male,1,Low
27,M,Hispanic,Male,1,Low
57,M,Hispanic,Female,1,Low
28,M,African-American,Male,3,High
32,F,African-American,Male,3,Low
27,M,African-American,Male,5,Low
45,M,Hispanic,Male,0,Low
42,M,Caucasian,Female,0,Low
33,F,African-American,Male,0,Low
28,M,Caucasian,Female,3,Low
53,M,Caucasian,Female,0,Low
24,F,Caucasian,Male,0,Low
28,F,Hispanic,Male,1,Low
28,F,Hispanic,Male,1,Low
39,M,African-American,Male,6,High
22,F,African-American,Male,1,High
46,F,African-American,Male,2,Low
25,M,African-American,Male,0,Low
52,F,Caucasian,Male,1,Low
28,M,African-American,Male,4,Low
57,F,Caucasian,Female,1,Low
49,F,African-American,Male,3,Low
21,F,African-American,Male,2,High
32,F,African-American,Male,19,High
63,M,African-American,Male,3,High
29,F,Caucasian,Male,2,Low
46,M,African-American,Male,0,Low
28,M,African-American,Male,10,High
27,F,African-American,Male,1,Low
69,M,Hispanic,Female,0,Low
47,M,Hispanic,Male,0,Low
45,F,Hispanic,Male,1,Low
33,M,Caucasian,Female,1,Low
27,M,Hispanic,Female,0,Low
32,F,African-American,Male,14,High
24,F,African-American,Male,2,High
26,F,African-American,Male,5,High
47,M,Hispanic,Male,0,Low
25,F,Caucasian,Male,1,Low
21,F,African-American,Male,1,High
25,M,African-American,Male,2,Low
22,F,African-American,Male,6,High
26,F,Caucasian,Female,0,High
20,F,Caucasian,Male,0,Low
30,M,African-American,Male,1,Low
45,F,African-American,Male,0,Low
33,F,African-American,Male,7,High
35,F,Caucasian,Male,2,Low
41,F,Caucasian,Male,5,Low
23,M,Caucasian,Male,0,Low
21,M,Caucasian,Female,0,Low
54,F,African-American,Male,0,Low
27,F,African-American,Male,10,High
22,M,Caucasian,Male,0,Low
21,M,Hispanic,Female,0,High
23,F,African-American,Male,2,High
30,M,Hispanic,Male,1,Low
36,M,African-American,Male,5,High
29,F,African-American,Male,10,High
54,M,African-American,Male,4,Low
22,M,Caucasian,Male,2,Low
26,M,African-American,Male,0,Low
20,F,African-American,Female,0,Low
52,M,African-American,Male,6,Low
29,F,African-American,Male,0,Low
23,M,African-American,Female,6,High
35,M,African-American,Male,1,Low
32,F,Caucasian,Male,8,High
21,M,African-American,Male,1,High
25,F,Hispanic,Male,0,Low
30,M,African-American,Male,4,Low
30,F,African-American,Female,3,Low
23,F,African-American,Male,2,High
32,F,Caucasian,Male,8,Low
29,F,African-American,Male,6,High
42,M,Caucasian,Male,0,Low
21,F,African-American,Male,0,High
22,M,African-American,Female,0,Low
45,F,Hispanic,Male,2,Low
29,M,African-American,Male,0,Low
30,F,African-American,Male,6,Low
51,M,African-American,Male,17,Low
45,F,Hispanic,Male,20,Low
24,F,Caucasian,Male,2,High
23,M,African-American,Male,2,High
36,F,African-American,Male,5,Low
